tracer,length_scale,key,sigma,ratio_vs_full
BGS,0.0000,DV_over_rs,0.2269,1.1544
BGS,0.3000,DV_over_rs,0.2276,1.1577
BGS,0.5000,DV_over_rs,0.2487,1.2649
BGS,0.8000,DV_over_rs,0.2966,1.5087
BGS,1.0000,DV_over_rs,0.3203,1.6296
BGS,1.5000,DV_over_rs,0.3543,1.8023
BGS,2.0000,DV_over_rs,0.3597,1.8298
BGS,3.0000,DV_over_rs,0.3230,1.6430
BGS,5.0000,DV_over_rs,0.2515,1.2791
BGS,8.0000,DV_over_rs,0.2173,1.1052
BGS,13.0000,DV_over_rs,0.2040,1.0377
BGS,20.0000,DV_over_rs,0.1996,1.0154
BGS,35.0000,DV_over_rs,0.1976,1.0049
BGS,60.0000,DV_over_rs,0.1969,1.0017
BGS,inf,DV_over_rs,0.1966,1.0000
LRG1,0.0000,DH_over_rs,0.7211,1.0444
LRG1,0.0000,DM_over_rs,0.3250,1.3442
LRG1,0.3000,DH_over_rs,0.7232,1.0475
LRG1,0.3000,DM_over_rs,0.3259,1.3481
LRG1,0.5000,DH_over_rs,0.7925,1.1477
LRG1,0.5000,DM_over_rs,0.3563,1.4739
LRG1,0.8000,DH_over_rs,0.9496,1.3753
LRG1,0.8000,DM_over_rs,0.4249,1.7574
LRG1,1.0000,DH_over_rs,1.0279,1.4886
LRG1,1.0000,DM_over_rs,0.4578,1.8938
LRG1,1.5000,DH_over_rs,1.1424,1.6545
LRG1,1.5000,DM_over_rs,0.5001,2.0684
LRG1,2.0000,DH_over_rs,1.1674,1.6907
LRG1,2.0000,DM_over_rs,0.4974,2.0573
LRG1,3.0000,DH_over_rs,1.0658,1.5435
LRG1,3.0000,DM_over_rs,0.4296,1.7770
LRG1,5.0000,DH_over_rs,0.8411,1.2182
LRG1,5.0000,DM_over_rs,0.3316,1.3717
LRG1,8.0000,DH_over_rs,0.7255,1.0507
LRG1,8.0000,DM_over_rs,0.2897,1.1982
LRG1,13.0000,DH_over_rs,0.6813,0.9867
LRG1,13.0000,DM_over_rs,0.2723,1.1262
LRG1,20.0000,DH_over_rs,0.6783,0.9824
LRG1,20.0000,DM_over_rs,0.2601,1.0759
LRG1,35.0000,DH_over_rs,0.6850,0.9920
LRG1,35.0000,DM_over_rs,0.2492,1.0307
LRG1,60.0000,DH_over_rs,0.6885,0.9971
LRG1,60.0000,DM_over_rs,0.2445,1.0113
LRG1,inf,DH_over_rs,0.6905,1.0000
LRG1,inf,DM_over_rs,0.2418,1.0000
LRG2,0.0000,DH_over_rs,0.5490,1.1463
LRG2,0.0000,DM_over_rs,0.3680,1.4467
LRG2,0.3000,DH_over_rs,0.5507,1.1497
LRG2,0.3000,DM_over_rs,0.3691,1.4509
LRG2,0.5000,DH_over_rs,0.6040,1.2610
LRG2,0.5000,DM_over_rs,0.4039,1.5877
LRG2,0.8000,DH_over_rs,0.7247,1.5129
LRG2,0.8000,DM_over_rs,0.4821,1.8950
LRG2,1.0000,DH_over_rs,0.7843,1.6375
LRG2,1.0000,DM_over_rs,0.5194,2.0418
LRG2,1.5000,DH_over_rs,0.8689,1.8139
LRG2,1.5000,DM_over_rs,0.5652,2.2216
LRG2,2.0000,DH_over_rs,0.8797,1.8365
LRG2,2.0000,DM_over_rs,0.5566,2.1878
LRG2,3.0000,DH_over_rs,0.7762,1.6206
LRG2,3.0000,DM_over_rs,0.4663,1.8328
LRG2,5.0000,DH_over_rs,0.5873,1.2262
LRG2,5.0000,DM_over_rs,0.3496,1.3741
LRG2,8.0000,DH_over_rs,0.5024,1.0490
LRG2,8.0000,DM_over_rs,0.3039,1.1946
LRG2,13.0000,DH_over_rs,0.4725,0.9864
LRG2,13.0000,DM_over_rs,0.2858,1.1235
LRG2,20.0000,DH_over_rs,0.4706,0.9825
LRG2,20.0000,DM_over_rs,0.2733,1.0743
LRG2,35.0000,DH_over_rs,0.4752,0.9921
LRG2,35.0000,DM_over_rs,0.2620,1.0300
LRG2,60.0000,DH_over_rs,0.4776,0.9971
LRG2,60.0000,DM_over_rs,0.2572,1.0110
LRG2,inf,DH_over_rs,0.4790,1.0000
LRG2,inf,DM_over_rs,0.2544,1.0000
LRG3_ELG1,0.0000,DH_over_rs,0.3906,1.0222
LRG3_ELG1,0.0000,DM_over_rs,0.4287,1.3604
LRG3_ELG1,0.3000,DH_over_rs,0.3917,1.0251
LRG3_ELG1,0.3000,DM_over_rs,0.4299,1.3641
LRG3_ELG1,0.5000,DH_over_rs,0.4273,1.1181
LRG3_ELG1,0.5000,DM_over_rs,0.4680,1.4849
LRG3_ELG1,0.8000,DH_over_rs,0.5082,1.3297
LRG3_ELG1,0.8000,DM_over_rs,0.5540,1.7578
LRG3_ELG1,1.0000,DH_over_rs,0.5482,1.4346
LRG3_ELG1,1.0000,DM_over_rs,0.5952,1.8884
LRG3_ELG1,1.5000,DH_over_rs,0.6049,1.5828
LRG3_ELG1,1.5000,DM_over_rs,0.6459,2.0495
LRG3_ELG1,2.0000,DH_over_rs,0.6134,1.6052
LRG3_ELG1,2.0000,DM_over_rs,0.6392,2.0282
LRG3_ELG1,3.0000,DH_over_rs,0.5549,1.4521
LRG3_ELG1,3.0000,DM_over_rs,0.5530,1.7547
LRG3_ELG1,5.0000,DH_over_rs,0.4440,1.1618
LRG3_ELG1,5.0000,DM_over_rs,0.4363,1.3843
LRG3_ELG1,8.0000,DH_over_rs,0.3904,1.0214
LRG3_ELG1,8.0000,DM_over_rs,0.3872,1.2286
LRG3_ELG1,13.0000,DH_over_rs,0.3714,0.9719
LRG3_ELG1,13.0000,DM_over_rs,0.3654,1.1595
LRG3_ELG1,20.0000,DH_over_rs,0.3722,0.9740
LRG3_ELG1,20.0000,DM_over_rs,0.3468,1.1003
LRG3_ELG1,35.0000,DH_over_rs,0.3778,0.9885
LRG3_ELG1,35.0000,DM_over_rs,0.3283,1.0418
LRG3_ELG1,60.0000,DH_over_rs,0.3805,0.9958
LRG3_ELG1,60.0000,DM_over_rs,0.3201,1.0155
LRG3_ELG1,inf,DH_over_rs,0.3822,1.0000
LRG3_ELG1,inf,DM_over_rs,0.3152,1.0000
ELG2,0.0000,DH_over_rs,0.3816,0.8661
ELG2,0.0000,DM_over_rs,0.7426,1.0530
ELG2,0.3000,DH_over_rs,0.3822,0.8675
ELG2,0.3000,DM_over_rs,0.7437,1.0546
ELG2,0.5000,DH_over_rs,0.4021,0.9126
ELG2,0.5000,DM_over_rs,0.7822,1.1091
ELG2,0.8000,DH_over_rs,0.4497,1.0206
ELG2,0.8000,DM_over_rs,0.8736,1.2388
ELG2,1.0000,DH_over_rs,0.4742,1.0762
ELG2,1.0000,DM_over_rs,0.9198,1.3044
ELG2,1.5000,DH_over_rs,0.5111,1.1599
ELG2,1.5000,DM_over_rs,0.9852,1.3970
ELG2,2.0000,DH_over_rs,0.5226,1.1861
ELG2,2.0000,DM_over_rs,0.9986,1.4160
ELG2,3.0000,DH_over_rs,0.5090,1.1551
ELG2,3.0000,DM_over_rs,0.9563,1.3560
ELG2,5.0000,DH_over_rs,0.4667,1.0593
ELG2,5.0000,DM_over_rs,0.8648,1.2262
ELG2,8.0000,DH_over_rs,0.4399,0.9984
ELG2,8.0000,DM_over_rs,0.8128,1.1526
ELG2,13.0000,DH_over_rs,0.4299,0.9756
ELG2,13.0000,DM_over_rs,0.7847,1.1127
ELG2,20.0000,DH_over_rs,0.4318,0.9799
ELG2,20.0000,DM_over_rs,0.7566,1.0728
ELG2,35.0000,DH_over_rs,0.4367,0.9912
ELG2,35.0000,DM_over_rs,0.7270,1.0309
ELG2,60.0000,DH_over_rs,0.4392,0.9967
ELG2,60.0000,DM_over_rs,0.7133,1.0115
ELG2,inf,DH_over_rs,0.4406,1.0000
ELG2,inf,DM_over_rs,0.7052,1.0000
QSO,0.0000,DV_over_rs,0.5789,0.9401
QSO,0.3000,DV_over_rs,0.5793,0.9406
QSO,0.5000,DV_over_rs,0.5897,0.9576
QSO,0.8000,DV_over_rs,0.6161,1.0005
QSO,1.0000,DV_over_rs,0.6306,1.0240
QSO,1.5000,DV_over_rs,0.6545,1.0629
QSO,2.0000,DV_over_rs,0.6651,1.0801
QSO,3.0000,DV_over_rs,0.6649,1.0798
QSO,5.0000,DV_over_rs,0.6462,1.0494
QSO,8.0000,DV_over_rs,0.6300,1.0230
QSO,13.0000,DV_over_rs,0.6214,1.0091
QSO,20.0000,DV_over_rs,0.6182,1.0039
QSO,35.0000,DV_over_rs,0.6166,1.0013
QSO,60.0000,DV_over_rs,0.6161,1.0004
QSO,inf,DV_over_rs,0.6158,1.0000
